City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Tawaramoto,75,JP,1602535884,82,34.55,135.8,69.8,3.36
Marawi,100,PH,1602535884,94,8.0,124.29,73.99,1.01
Vaini,20,TO,1602535885,64,-21.2,-175.2,75.2,12.75
Vilhena,93,BR,1602535885,57,-12.74,-60.15,81.9,2.71
Kodino,100,RU,1602535885,95,63.72,39.64,47.62,6.51
Mataura,53,NZ,1602535885,75,-46.19,168.86,51.01,10.0
Bredasdorp,37,ZA,1602535885,82,-34.53,20.04,59.0,14.99
Albany,97,US,1602535885,55,42.6,-73.97,55.99,7.45
Hermanus,2,ZA,1602535885,86,-34.42,19.23,57.99,1.01
Berlevåg,40,NO,1602535885,93,70.86,29.09,39.2,19.46
Bluff,60,NZ,1602535886,75,-46.6,168.33,51.01,10.0
Grand Gaube,0,MU,1602535886,80,-20.01,57.66,73.0,5.99
Ushuaia,75,AR,1602535882,70,-54.8,-68.3,44.6,5.82
Fort Nelson,90,CA,1602535886,86,58.81,-122.7,39.2,5.82
Nouadhibou,0,MR,1602535886,94,20.93,-17.03,69.8,12.75
Butaritari,19,KI,1602535886,74,3.07,172.79,82.17,18.32
Avarua,86,CK,1602535886,83,-21.21,-159.78,73.4,9.17
Chui,81,UY,1602535886,80,-33.7,-53.46,59.36,6.71
Novy Urengoy,91,RU,1602535886,95,66.08,76.63,35.24,11.43
Rikitea,15,PF,1602535887,76,-23.12,-134.97,74.16,15.82
Port Alfred,57,ZA,1602535887,68,-33.59,26.89,61.61,6.67
Christchurch,98,NZ,1602535803,93,-43.53,172.63,57.99,5.82
Busselton,98,AU,1602535887,65,-33.65,115.33,55.99,8.81
Hong Kong,100,HK,1602535828,86,22.29,114.16,78.01,1.01
Tagusao,100,PH,1602535887,78,9.19,117.81,79.79,4.92
Muisne,75,EC,1602535887,78,0.6,-80.03,80.6,17.22
Faanui,2,PF,1602535887,80,-16.48,-151.75,78.71,15.52
Sioux Lookout,75,CA,1602535887,70,50.1,-91.92,48.2,10.29
Tutóia,1,BR,1602535887,77,-2.76,-42.27,79.99,12.57
Kūhdasht,0,IR,1602535888,45,33.53,47.61,52.07,3.67
Nivala,94,FI,1602535888,97,63.92,24.97,37.99,1.01
Saint George,1,US,1602535888,15,37.1,-113.58,84.0,5.5
Severo-Kuril'sk,80,RU,1602535888,77,50.68,156.12,46.24,15.19
Pangnirtung,75,CA,1602535888,64,66.15,-65.71,35.6,13.87
Yellowknife,90,CA,1602535888,69,62.46,-114.35,35.6,27.51
Zhaotong,100,CN,1602535888,90,27.32,103.72,53.47,1.88
Westport,90,US,1602535888,71,41.14,-73.36,57.2,20.8
Denpasar,20,ID,1602535888,83,-8.65,115.22,80.6,11.41
Paita,23,PE,1602535889,73,-5.09,-81.11,68.76,14.34
Cape Town,13,ZA,1602535889,76,-33.93,18.42,59.0,4.7
Deputatsky,98,RU,1602535889,98,69.3,139.9,10.22,2.46
Năsturelu,61,RO,1602535889,70,43.67,25.47,64.0,5.01
Kapaa,75,US,1602535889,78,22.08,-159.32,82.4,10.29
Taltal,22,CL,1602535889,58,-25.4,-70.48,64.27,6.02
Khatanga,96,RU,1602535889,98,71.97,102.5,25.25,13.4
Aksu,53,CN,1602535890,45,41.12,80.26,48.87,2.3
Bairiki Village,40,KI,1602535890,66,1.33,172.98,84.2,11.41
Coyhaique,75,CL,1602535890,71,-45.58,-72.07,51.8,8.05
Tsimmerbude,40,RU,1602535890,93,54.67,20.13,44.6,4.47
Horsham,75,GB,1602535890,93,51.06,-0.33,52.0,4.7
Puerto Ayora,20,EC,1602535890,61,-0.74,-90.35,80.6,24.16
Nambucca Heads,40,AU,1602535890,88,-30.65,153.0,63.0,4.7
Bubaque,65,GW,1602535890,78,11.28,-15.83,83.64,9.42
Sokolo,27,ML,1602535890,34,14.73,-6.12,88.77,2.15
Hobart,20,AU,1602535796,61,-42.88,147.33,48.2,8.05
Half Moon Bay,1,US,1602535891,49,37.46,-122.43,81.0,14.99
Inta,100,RU,1602535891,87,66.03,60.17,41.56,6.15
Dubrājpur,91,IN,1602535891,82,23.8,87.38,79.0,3.09
Gizo Government Station,95,SB,1602535891,78,-8.1,156.84,84.07,13.65
Arraial do Cabo,48,BR,1602535807,69,-22.97,-42.03,73.4,20.8
Saldanha,68,ZA,1602535827,87,-33.01,17.94,57.2,4.7
Ardakān,0,IR,1602535891,14,32.31,54.02,51.8,2.24
Masvingo,100,ZW,1602535892,89,-20.06,30.83,59.76,8.46
Tuktoyaktuk,90,CA,1602535892,62,69.45,-133.04,23.0,19.46
Qaanaaq,100,GL,1602535892,90,77.48,-69.36,32.95,5.28
Port Macquarie,2,AU,1602535892,86,-31.43,152.92,63.0,3.87
Lavrentiya,51,RU,1602535892,90,65.58,-171.0,32.47,15.95
Jamestown,90,US,1602535889,82,42.1,-79.24,60.01,18.34
Machalí,0,CL,1602535892,33,-34.18,-70.67,77.25,6.49
Bilma,0,NE,1602535892,16,18.69,12.92,86.67,5.66
Ahipara,97,NZ,1602535893,95,-35.17,173.17,60.73,4.7
Vestmannaeyjar,0,IS,1602535893,77,63.44,-20.27,45.43,10.11
Guatire,98,VE,1602535893,85,10.48,-66.54,79.38,2.68
Punta Arenas,100,CL,1602535893,71,-53.15,-70.92,51.8,28.86
Vao,100,NC,1602535893,87,-22.67,167.48,73.38,18.23
Sitka,90,US,1602535893,66,57.05,-135.33,50.0,8.05
Gouré,0,NE,1602535893,18,13.98,10.27,89.01,1.01
Lompoc,1,US,1602535648,33,34.64,-120.46,91.99,13.87
Yar-Sale,95,RU,1602535894,94,66.83,70.83,31.77,3.49
Jasper,1,US,1602535454,18,37.2,-94.35,73.4,14.99
Barrow,90,US,1602535894,85,71.29,-156.79,23.0,4.7
Narsaq,100,GL,1602535894,84,60.92,-46.05,53.6,12.75
Makakilo City,20,US,1602535894,83,21.35,-158.09,78.8,10.25
Yunguyo,63,PE,1602535894,57,-16.25,-69.08,52.43,15.7
Port Hardy,75,CA,1602535894,87,50.7,-127.42,51.8,12.75
Longyearbyen,20,SJ,1602535849,73,78.22,15.64,21.2,3.36
Acarí,2,PE,1602535894,51,-15.43,-74.62,73.99,7.58
Wattegama,40,LK,1602535894,100,6.8,81.48,78.8,11.41
Aklavik,75,CA,1602535894,85,68.22,-135.01,21.2,5.82
Airai,53,TL,1602535895,83,-8.93,125.41,58.95,3.6
Aksarka,97,RU,1602535895,91,66.56,67.8,34.25,7.4
Castro,1,BR,1602535620,58,-24.79,-50.01,70.7,2.66
Walvis Bay,0,NA,1602535895,87,-22.96,14.51,55.99,8.05
George Town,20,MY,1602535895,88,5.41,100.34,77.0,3.36
Lebu,0,CL,1602535895,75,-37.62,-73.65,52.36,19.44
Tuatapere,66,NZ,1602535895,75,-46.13,167.68,51.01,10.0
Urusha,100,RU,1602535895,86,54.05,122.9,25.36,6.67
Buckeye,1,US,1602535895,15,33.37,-112.58,99.0,6.93
Pevek,91,RU,1602535895,95,69.7,170.31,24.78,12.01
Atuona,38,PF,1602535896,74,-9.8,-139.03,78.3,15.14
Notre-Dame-du-Lac,1,CA,1602535896,36,47.61,-68.8,50.0,5.82
Dayong,75,CN,1602535896,57,25.02,118.29,75.2,6.71
Forsytheganj,87,BY,1602535896,91,52.63,29.73,52.65,6.04
Barcelos,0,PT,1602535896,100,41.54,-8.62,61.0,5.82
East London,11,ZA,1602535896,75,-33.02,27.91,61.03,10.38
Port Elizabeth,71,ZA,1602535600,87,-33.92,25.57,55.4,2.24
Meulaboh,100,ID,1602535896,84,4.14,96.13,76.05,6.67
Bandarbeyla,33,SO,1602535896,81,9.49,50.81,78.87,6.58
Mehamn,75,NO,1602535896,93,71.04,27.85,37.4,10.29
Borgentreich,16,DE,1602535897,90,51.57,9.24,45.0,2.28
Dingle,100,PH,1602535897,87,11.0,122.67,75.96,3.38
Pangoa,57,PE,1602535897,37,-12.12,-73.0,89.33,2.53
Ribeira Grande,75,PT,1602535897,72,38.52,-28.7,68.0,10.29
Bengkulu,47,ID,1602535747,90,-3.8,102.27,74.89,3.76
Ponta do Sol,20,PT,1602535897,68,32.67,-17.1,71.6,17.22
Antofagasta,20,CL,1602535897,67,-23.65,-70.4,62.6,12.75
Kailua,75,US,1602535824,78,21.4,-157.74,82.4,9.17
Bethel,90,US,1602535898,71,41.37,-73.41,53.6,17.22
Shimanovsk,92,RU,1602535898,88,52.0,127.7,28.69,9.1
Hofn,89,IS,1602535898,84,64.25,-15.21,45.52,2.89
Nikolskoye,100,RU,1602535898,87,59.7,30.79,48.99,2.24
Mareeba,75,AU,1602535898,78,-17.0,145.43,75.2,8.05
Brae,99,GB,1602535898,76,60.4,-1.35,48.2,16.11
Oistins,20,BB,1602535898,70,13.07,-59.53,86.0,10.29
Calatayud,23,ES,1602535898,54,41.35,-1.64,55.4,3.36
Kiryat Gat,1,IL,1602535745,67,31.61,34.76,75.0,3.62
Luganville,75,VU,1602535898,94,-15.53,167.17,78.8,11.01
Evensk,67,RU,1602535898,90,61.95,159.23,33.58,3.09
Coquimbo,75,CL,1602535899,76,-29.95,-71.34,57.2,10.29
Whitefish,40,US,1602535899,43,48.41,-114.34,57.0,16.11
Cabo San Lucas,90,MX,1602535777,74,22.89,-109.91,84.0,4.7
Adré,98,TD,1602535899,66,13.47,22.2,76.55,4.34
Ancud,34,CL,1602535899,62,-41.87,-73.82,62.01,6.93
Saint Paul Harbor,90,US,1602535899,69,57.79,-152.41,35.6,6.93
Hithadhoo,50,MV,1602535899,72,-0.6,73.08,82.09,11.32
Hvolsvollur,0,IS,1602535899,95,63.75,-20.22,39.99,1.43
Waingapu,90,ID,1602535900,81,-9.66,120.26,78.33,6.33
Salaga,56,GH,1602535900,82,8.55,-0.52,76.55,3.09
Yerbogachën,100,RU,1602535900,87,61.28,108.01,24.51,8.84
Leningradskiy,76,RU,1602535900,90,69.38,178.42,21.97,4.21
Greenwood,75,US,1602535900,74,34.17,-82.12,81.0,5.82
Lagos,100,NG,1602535895,90,6.58,3.75,77.32,6.33
Kavieng,8,PG,1602535900,73,-2.57,150.8,82.62,5.64
Namatanai,63,PG,1602535900,79,-3.67,152.43,81.16,5.23
Mahébourg,20,MU,1602535900,88,-20.41,57.7,71.6,5.82
Terrace,75,CA,1602535824,87,54.52,-128.6,46.4,11.41
Cherskiy,14,RU,1602535901,89,68.75,161.3,18.18,8.16
Kongolo,100,CD,1602535901,92,-5.38,27.0,71.4,3.62
Goderich,81,CA,1602535701,78,43.75,-81.72,66.99,1.01
Port Augusta,90,AU,1602535901,93,-32.5,137.77,59.0,9.17
Saint-Pierre,75,RE,1602535901,68,-21.34,55.48,71.6,4.7
Quatre Cocos,20,MU,1602535901,88,-20.21,57.76,73.0,5.82
Esperance,1,AU,1602535901,100,-33.87,121.9,48.2,6.93
Margate,100,GB,1602535686,95,51.38,1.39,53.01,1.01
Banda Aceh,100,ID,1602535749,70,5.56,95.32,81.0,10.71
Thompson,75,CA,1602535901,65,55.74,-97.86,41.0,17.22
Mar del Plata,20,AR,1602535902,72,-38.0,-57.56,60.8,10.29
Beyneu,0,KZ,1602535902,41,45.32,55.2,51.24,10.04
Mahajanga,20,MG,1602535902,83,-15.72,46.32,80.6,6.93
Kumul,99,CN,1602535902,49,42.8,93.45,45.52,9.82
Fare,0,PF,1602535902,78,-16.7,-151.02,79.29,15.55
Hambantota,40,LK,1602535902,100,6.12,81.12,78.8,11.41
Sorong,100,ID,1602535902,88,-0.88,131.25,77.18,7.94
Hasaki,75,JP,1602535902,100,35.73,140.83,68.0,1.12
Tinde,57,TZ,1602535903,45,-3.88,33.2,79.72,3.98
College,75,US,1602535769,46,64.86,-147.8,28.99,9.17
Nieuw Amsterdam,40,SR,1602535903,55,5.88,-55.08,91.4,2.24
Ixtapa,75,MX,1602535903,62,20.7,-105.2,89.6,6.93
Hammerfest,75,NO,1602535903,82,70.66,23.68,37.4,13.87
Necochea,3,AR,1602535903,82,-38.55,-58.74,54.0,3.0
Itarema,0,BR,1602535903,77,-2.92,-39.92,78.73,16.15
Yumen,86,CN,1602535903,77,40.28,97.2,30.47,2.13
Quesnel,90,CA,1602535904,66,53.0,-122.5,48.2,3.36
Sibu,20,MY,1602535904,94,2.3,111.82,77.0,1.12
Maracaibo,92,VE,1602535904,62,10.63,-71.64,87.87,6.29
Pisco,7,PE,1602535904,60,-13.7,-76.22,71.6,16.11
Dharmanagar,17,IN,1602535904,97,24.37,92.17,75.54,1.57
Fengzhen,0,CN,1602535904,70,40.44,113.15,36.34,1.57
Torbay,20,CA,1602535904,61,47.67,-52.73,46.99,19.46
Bambous Virieux,20,MU,1602535904,88,-20.34,57.76,73.0,5.82
Saskylakh,100,RU,1602535904,96,71.92,114.08,18.18,7.96
Nanton,34,CA,1602535905,79,50.35,-113.77,42.01,5.39
Praia,75,CV,1602535905,74,14.92,-23.51,78.8,9.17
Talnakh,40,RU,1602535905,92,69.49,88.4,28.4,20.13
Sabha,73,LY,1602535905,21,27.04,14.43,80.82,8.66
Tara,4,RU,1602535905,94,56.89,74.37,40.19,5.5
Teknāf,9,BD,1602535905,87,20.86,92.31,78.28,4.5
Villamontes,0,BO,1602535905,19,-21.25,-63.5,96.49,7.74
Dikson,100,RU,1602535905,85,73.51,80.55,33.51,17.6
Portobelo,100,PA,1602535906,83,9.55,-79.65,82.0,8.99
Loum,82,CM,1602535906,94,4.72,9.74,72.86,0.22
Chokurdakh,37,RU,1602535906,97,70.63,147.92,16.32,3.33
Rome,75,US,1602535805,50,43.21,-75.46,57.2,10.29
Honiara,40,SB,1602535906,94,-9.43,159.95,75.2,4.7
Alice Springs,0,AU,1602535906,54,-23.7,133.88,55.4,8.48
Shājāpur,17,IN,1602535906,40,23.43,76.27,72.7,3.15
Dunedin,22,NZ,1602535763,78,-45.87,170.5,50.0,11.01
Fortuna,1,US,1602535723,68,40.6,-124.16,75.0,13.87
Freeport,90,US,1602535790,93,40.66,-73.58,55.0,16.11
Hella,75,NO,1602535907,100,67.2,14.43,42.8,3.36
Paraíso,100,CR,1602535907,42,9.84,-83.87,82.4,4.7
Río Gallegos,90,AR,1602535907,26,-51.62,-69.22,69.8,25.28
New Norfolk,14,AU,1602535907,62,-42.78,147.06,46.0,3.0
Bagdarin,66,RU,1602535907,83,54.43,113.6,17.26,5.01
Poum,20,NC,1602535907,79,-20.23,164.02,77.09,12.21
Tasiilaq,100,GL,1602535907,80,65.61,-37.64,39.2,11.41
Staryy Nadym,85,RU,1602535908,83,65.61,72.68,36.46,9.06
Ilulissat,75,GL,1602535908,69,69.22,-51.1,33.8,6.93
La Carolina,0,ES,1602535908,41,38.28,-3.62,54.93,5.46
Bavly,83,RU,1602535908,53,54.39,53.26,46.76,9.73
Ensenada,0,MX,1602535616,72,31.87,-116.62,78.01,3.0
Chapais,1,CA,1602535661,43,49.78,-74.85,50.0,11.41
Coahuayana Viejo,75,MX,1602535908,78,18.73,-103.68,77.0,6.78
Kaitangata,27,NZ,1602535908,82,-46.28,169.85,51.01,4.0
Kirakira,78,SB,1602535908,79,-10.45,161.92,82.98,12.35
Kousséri,0,CM,1602535908,58,12.08,15.03,84.2,5.82
Seoul,1,KR,1602535645,76,37.57,126.98,48.2,3.74
Nombre de Dios,20,MX,1602535909,9,23.85,-104.23,82.4,6.93
Saint-Philippe,75,RE,1602535909,68,-21.36,55.77,71.6,4.7
Katangli,100,RU,1602535909,76,51.71,143.23,43.23,6.35
Mońki,100,PL,1602535909,94,53.41,22.8,50.0,15.52
Kutum,19,SD,1602535909,23,14.2,24.67,81.39,8.16
Nelson Bay,20,AU,1602535909,100,-32.72,152.15,62.01,5.82
Puerto Escondido,40,MX,1602535909,66,15.85,-97.07,87.8,8.05
Roald,40,NO,1602535909,75,62.58,6.13,46.99,11.41
Bang Rakam,100,TH,1602535910,94,16.76,100.12,73.49,3.15
Amga,98,RU,1602535910,97,60.9,131.96,22.37,6.85
La Asuncion,13,VE,1602535910,72,11.03,-63.86,84.74,10.4
Mossamedes,91,AO,1602535910,81,-15.2,12.15,63.99,7.11
Upernavik,21,GL,1602535910,96,72.79,-56.15,30.49,8.01
Baft,0,IR,1602535910,33,29.23,56.61,49.51,5.46
Zhigansk,69,RU,1602535910,96,66.77,123.37,13.66,11.7
Hilo,75,US,1602535703,62,19.73,-155.09,84.2,4.7
Brasília,20,BR,1602535911,40,-15.78,-47.93,86.0,9.17
Varkaus,20,FI,1602535911,100,62.32,27.87,45.0,4.7
Haines Junction,100,CA,1602535911,70,60.75,-137.51,40.08,3.47
Yangi Marg`ilon,0,UZ,1602535911,81,40.43,71.72,48.2,6.93
Grindavik,75,IS,1602535911,100,63.84,-22.43,41.0,1.12
Bismarck,75,US,1602535911,33,46.81,-100.78,60.01,13.87
Gemeente Wageningen,90,NL,1602535911,100,51.97,5.67,48.0,1.12
Rio Grande,68,BR,1602535757,75,-32.03,-52.1,61.88,13.09
High Prairie,93,CA,1602535911,65,55.43,-116.49,43.03,17.43
Arkadelphia,1,US,1602535911,41,34.12,-93.05,78.8,12.75
Vila Velha,90,BR,1602535912,94,-20.33,-40.29,73.99,3.36
Tura,0,IN,1602535912,91,25.52,90.22,73.36,3.09
Slave Lake,90,CA,1602535912,75,55.28,-114.77,42.8,23.04
Kurdzhinovo,0,RU,1602535912,44,43.99,40.96,57.0,6.08
Porto-Novo,40,BJ,1602535912,88,6.5,2.6,80.6,13.87
Vangaindrano,100,MG,1602535912,91,-23.35,47.6,74.03,4.43
Central Point,1,US,1602535912,63,42.38,-122.92,73.99,6.93
Kalmunai,28,LK,1602535912,71,7.42,81.82,78.03,4.83
Clyde River,90,CA,1602535913,97,70.47,-68.59,32.0,6.93
Kanigoro,23,ID,1602535913,88,-8.13,112.22,72.45,2.75
Boende,90,CD,1602535913,96,-0.22,20.87,70.32,0.65
Kahului,40,US,1602535913,49,20.89,-156.47,89.6,17.22
Menongue,24,AO,1602535913,24,-14.66,17.69,66.13,1.86
Kralendijk,40,BQ,1602535913,70,12.15,-68.27,87.8,16.11
Kenora,40,CA,1602535913,47,49.82,-94.43,51.8,12.75
Ayan,0,RU,1602535913,72,56.45,138.17,41.09,3.65
Antalaha,10,MG,1602535913,89,-14.9,50.28,73.17,4.34
Athabasca,95,CA,1602535913,58,54.72,-113.29,45.48,18.54
Mayumba,85,GA,1602535914,84,-3.43,10.66,76.17,9.15
San Patricio,40,US,1602535914,55,28.02,-97.52,93.99,5.82
Geraldton,75,AU,1602535914,87,-28.77,114.6,57.2,5.82
Ossora,1,RU,1602535914,74,59.24,163.07,35.65,2.1
Uglegorskiy,12,RU,1602535914,74,48.24,41.25,55.92,6.85
Bad Sachsa,6,DE,1602535914,96,51.59,10.56,46.99,1.97
Souillac,20,MU,1602535914,88,-20.52,57.52,71.6,5.82
Tabuk,99,PH,1602535914,89,17.42,121.44,72.54,1.99
Mount Gambier,90,AU,1602535914,87,-37.83,140.77,53.6,5.82
Port Blair,100,IN,1602535915,83,11.67,92.75,80.51,14.65
Indianola,0,US,1602535915,26,41.36,-93.56,68.0,13.42
Pathein,13,MM,1602535915,95,16.78,94.73,74.59,4.5
Port-Gentil,40,GA,1602535915,83,-0.72,8.78,78.8,12.75
Sandy Bay,40,AU,1602535915,61,-42.91,147.35,48.2,8.05
Vardø,75,NO,1602535915,86,70.37,31.11,41.0,8.05
Moussoro,100,TD,1602535915,28,13.64,16.49,93.83,6.33
Srednekolymsk,67,RU,1602535915,87,67.45,153.68,23.86,6.6
Santa Isabel Rio Negro,72,BR,1602535915,51,-0.41,-65.02,91.35,2.93
Koratagere,75,IN,1602535915,100,13.52,77.23,69.8,8.05
Mogadishu,21,SO,1602535629,82,2.04,45.34,78.67,10.22
Aswān,0,EG,1602535916,26,24.09,32.91,86.36,12.71
Aljezur,0,PT,1602535916,58,37.32,-8.8,62.01,1.01
Biltine,96,TD,1602535916,39,14.53,20.92,88.0,3.24
